WARNING:AHMED:the warning message
WARNING:AHMED:the warning message
ERROR:AHMED:the warning message
CRITICAL:AHMED:the warning message
WARNING:AHMED:the warning message
ERROR:AHMED:the warning message
CRITICAL:AHMED:the warning message
2023-12-14 20:46:08,210 => AHMED | WARNING | the warning message
2023-12-14 20:46:08,210 => AHMED | ERROR | the warning message
2023-12-14 20:46:08,210 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:47:19 => AHMED | WARNING | the warning message
14 December 2023 , 20:47:19 => AHMED | ERROR | the warning message
14 December 2023 , 20:47:19 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:49:44 => AHMED | WARNING | the warning message
14 December 2023 , 20:49:44 => AHMED | ERROR | the warning message
14 December 2023 , 20:49:44 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:30 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:30 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:30 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:35 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:35 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:35 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:37 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:37 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:37 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:40 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:40 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:40 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:41 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:41 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:41 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:42 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:42 => AHMED | ERROR | the warning message
14 December 2023 , 20:50:42 => AHMED | CRITICAL | the warning message
14 December 2023 , 20:50:43 => AHMED | WARNING | the warning message
14 December 2023 , 20:50:43 => AHMED | ERROR | the warning message
